class,mean_Ess,lower_ci_Ess,upper_ci_Ess,mean_NonEss,lower_ci_NonEss,upper_ci_NonEss,pvalue,buff,spa
SHphob,0.4159667070217918,0.4040556900726392,0.4270618946731235,0.4203731508444961,0.4130460104834013,0.427958648806057,0.5579,CG,80
WHphob,0.2335284503631961,0.2235093825665859,0.2436440677966101,0.2572503203261502,0.2504935934769947,0.2637754804892254,0.0001,CG,80
Hphil,0.3081493644067797,0.2970641646489104,0.318859715496368,0.2855369831100757,0.2789167152009318,0.2917894583576005,0.0007,CG,80
Arom,0.1504375,0.1414951573849878,0.159503631961259,0.1738019801980198,0.1683153756552126,0.1792690739662201,0.0,CG,80
pureHphob,0.4505929176755448,0.439009533898305,0.4620195217917676,0.484068025626092,0.4765244612696563,0.4913220733838089,0.0,CG,80
pureHphil,0.1268067493946731,0.1187953995157385,0.1343825665859564,0.1108163075131042,0.1059973791496796,0.1158415841584158,0.0005,CG,80
pureArom,0.0194087469733656,0.0160411622276029,0.023002421307506,0.0367052417006406,0.0338948747815958,0.0395457192778101,0.0,CG,80
SHphob,0.4019885480572597,0.3887525562372188,0.4159509202453987,0.4180762910798122,0.4080956572769953,0.4294630281690141,0.0676,CG,90
WHphob,0.2358002044989775,0.2235122699386503,0.2488752556237218,0.256675117370892,0.2476496478873239,0.2654988262910798,0.0073,CG,90
Hphil,0.3156910020449898,0.3030623721881391,0.3292484662576687,0.2915715962441315,0.282156690140845,0.3015287558685446,0.0032,CG,90
Arom,0.1527503067484662,0.1433486707566462,0.1627811860940695,0.1717977699530516,0.164081572769953,0.1805164319248826,0.004,CG,90
pureHphob,0.4331308793456032,0.4196267893660532,0.4464212678936605,0.4802055164319249,0.4694806338028169,0.4899061032863849,0.0,CG,90
pureHphil,0.1306161554192229,0.1216768916155419,0.1400869120654396,0.1131537558685446,0.1062177230046948,0.1197183098591549,0.0026,CG,90
pureArom,0.0201069529652351,0.0161554192229038,0.0239314928425357,0.0351747652582159,0.0312206572769953,0.0392018779342723,0.0,CG,90
SHphob,0.4181689091285447,0.408093562409439,0.4279652245911819,0.4255254385964913,0.4202387914230019,0.4308974983755685,0.203,C,0
WHphob,0.2386805009314841,0.2298695922169323,0.2472624715379838,0.2599211825860948,0.2547425276153346,0.2645873944119558,0.0,C,0
Hphil,0.3007849306561788,0.2922764438004554,0.3095632374249638,0.2820124756335283,0.277382228719948,0.2870053606237817,0.001,C,0
Arom,0.146043365762782,0.1393086317532602,0.1532808942247981,0.1795606562703054,0.175112897985705,0.1838864522417153,0.0,C,0
pureHphob,0.4591566963361622,0.44969726764645,0.4687435313599669,0.4952038986354776,0.4898627355425601,0.5006497725795972,0.0,C,0
pureHphil,0.1220729662595736,0.115090043469261,0.1289613951562823,0.1090017868745939,0.1053923001949317,0.1124439571150097,0.0003,C,0
