gene;model
A0A1D8PQB7;F1
A0A1D8PR83;F1
A0A1D8PS46;F1
A0A1D8PS61;F1
A0A1D8PSB8;F1
A0A1D8PSQ6;F1
A0A1D8PSV9;F1
A0A1D8PT21;F1
A0A1D8PUA3;F1
A0A1F4;F1
A0A1I9LQ51;F1
A0A1L1QZ88;F1
A0A1L1QZM8;F1
A0A1N7SZF6;F1
A0A1P8ANB5;F1
A0A1P8ANP5;F1
A0A1P8AP52;F1
A0A1P8AQG9;F1
A0A1P8AQT9;F1
A0A1P8AT95;F1
A0A1P8AYB6;F1
A0A1P8B1V0;F1
A0A1P8B2I9;F1
A0A1P8B3W4;F1
A0A1P8B5A6;F1
A0A1P8B5D8;F1
A0A1P8B5T0;F1
A0A1P8B6L8;F1
A0A1P8B7K8;F1
A0A1P8BET4;F1
A0A1R3P7Y6;F1
A0A1T5HUK5;F1
A0A1W2PPK0;F1
A0A1W2Q6M9;F1
A0A286Y8H6;F1
A0A286Y8Y0;F1
A0A286Y9J3;F1
A0A286YAN7;F1
A0A286YAT1;F1
A0A286YB73;F1
A0A286YB96;F1
A0A286YBG1;F1
A0A2K7HC21;F1
A0A2R8PV44;F1
A0A2R8PV75;F1
A0A2R8PX20;F1
A0A2R8PXX5;F1
A0A2R8PY30;F1
A0A2R8PYC5;F1
A0A2R8PYC7;F1
A0A2R8PYI7;F1
A0A2R8PZS5;F1
A0A2R8Q097;F1
A0A2R8Q0C8;F1
A0A2R8Q0D2;F1
A0A2R8Q2A0;F1
